tweet_text,cyberbullying_type
You're a freak,Insult
You're disgusting,Insult
You're a loser,Insult
You're beneath everyone,Insult
You're revolting,Insult
You're pathetic,Insult
You're trash,Insult
You're a freak,Insult
You're a freak,Insult
You're dirty,Insult
You're awful,Insult
You're revolting,Insult
You're skinny,Insult
You're awful,Insult
You're dirty,Insult
You're ashamed,Insult
You're embarrassing,Insult
You're worthless,Insult
You're pond scum,Insult
You're awful,Insult
You're dirty,Insult
You're pond scum,Insult
You're pond scum,Insult
You're useless,Insult
You're embarrassing,Insult
You're skinny,Insult
You're dirty,Insult
You're pathetic,Insult
You're filthy,Insult
You're pond scum,Insult
You're despicable,Insult
You're repulsive,Insult
You're despicable,Insult
You're filthy,Insult
You're worthless,Insult
You're repulsive,Insult
You're worthless scum,Insult
You're despicable,Insult
You're garbage,Insult
You're pond scum,Insult
You're revolting,Insult
You're embarrassing,Insult
You're despicable,Insult
You're repulsive,Insult
You're dirty,Insult
You're vile,Insult
You're an idiot,Insult
You're disgusting,Insult
You're trash,Insult
You're vile,Insult
You're terrible,Insult
You're beneath everyone,Insult
You're a failure,Insult
You're incompetent,Insult
You're ugly,Insult
You're awful,Insult
You're trash,Insult
You're weak,Insult
You're an idiot,Insult
You're skinny,Insult
You're repulsive,Insult
You're pond scum,Insult
You're revolting,Insult
You're disgusting,Insult
You're stupid,Insult
You're weak,Insult
You're worthless,Insult
You're weak,Insult
You're ashamed,Insult
You're pond scum,Insult
You're useless,Insult
You're stupid,Insult
You're skinny,Insult
You're ugly,Insult
You're fat,Insult
You're a failure,Insult
You're weak,Insult
You're vile,Insult
You're embarrassing,Insult
You're vile,Insult
You're vile,Insult
You're repulsive,Insult
You're embarrassing,Insult
You're repulsive,Insult
You're awful,Insult
You're awful,Insult
You're ashamed,Insult
You're worthless,Insult
You're embarrassing,Insult
You're despicable,Insult
You're despicable,Insult
You're terrible,Insult
You're a failure,Insult
You're skinny,Insult
You're filthy,Insult
You're pathetic,Insult
You're stupid,Insult
You're an idiot,Insult
You're a freak,Insult
You're garbage,Insult
You're ugly,Insult
You're worthless,Insult
You're disgusting,Insult
You're ashamed,Insult
You're garbage,Insult
You're repulsive,Insult
You're a freak,Insult
You're worthless scum,Insult
You're filthy,Insult
You're dirty,Insult
You're an idiot,Insult
You're a joke,Insult
You're embarrassing,Insult
You're disgusting,Insult
You're pathetic,Insult
You're a joke,Insult
You're skinny,Insult
You're pond scum,Insult
You're stupid,Insult
You're terrible,Insult
You're incompetent,Insult
You're stupid,Insult
You're worthless,Insult
You're a freak,Insult
You're skinny,Insult
You're a loser,Insult
You're terrible,Insult
You're useless,Insult
You're worthless scum,Insult
You're garbage,Insult
You're a joke,Insult
You're a joke,Insult
You're garbage,Insult
You're dirty,Insult
You're awful,Insult
You're embarrassing,Insult
You're horrible,Insult
You're dumb,Insult
You're terrible,Insult
You're vile,Insult
You're skinny,Insult
You're a freak,Insult
You're repulsive,Insult
You're a freak,Insult
You're dirty,Insult
You're beneath everyone,Insult
You're beneath everyone,Insult
You're filthy,Insult
You're filthy,Insult
You're disgusting,Insult
You're an idiot,Insult
You're an idiot,Insult
You're stupid,Insult
You're revolting,Insult
You're terrible,Insult
You're incompetent,Insult
You're dumb,Insult
You're a failure,Insult
You're dirty,Insult
You're beneath everyone,Insult
You're trash,Insult
You're vile,Insult
You're stupid,Insult
You're repulsive,Insult
You're skinny,Insult
You're garbage,Insult
You're disgusting,Insult
You're awful,Insult
You're disgusting,Insult
You're useless,Insult
You're beneath everyone,Insult
You're weak,Insult
You're vile,Insult
You're ugly,Insult
You're a loser,Insult
You're dirty,Insult
You're ashamed,Insult
You're disgusting,Insult
You're a joke,Insult
You're skinny,Insult
You're fat,Insult
You're disgusting,Insult
You're filthy,Insult
You're terrible,Insult
You're worthless scum,Insult
You're a joke,Insult
You're an idiot,Insult
You're a loser,Insult
You're pond scum,Insult
You're a joke,Insult
You're trash,Insult
You're skinny,Insult
You're worthless scum,Insult
You're awful,Insult
You're awful,Insult
You're worthless scum,Insult
You're vile,Insult
You're repulsive,Insult
You're worthless scum,Insult
You're pond scum,Insult
You're horrible,Insult
You're repulsive,Insult
You're vile,Insult
You're an idiot,Insult
You're stupid,Insult
You're a loser,Insult
You're skinny,Insult
You're pathetic,Insult
You're weak,Insult
You're pond scum,Insult
You're stupid,Insult
You're beneath everyone,Insult
You're fat,Insult
You're ashamed,Insult
You're revolting,Insult
You're useless,Insult
You're dirty,Insult
You're revolting,Insult
You're a freak,Insult
You're trash,Insult
You're dumb,Insult
You're incompetent,Insult
You're a loser,Insult
You're fat,Insult
You're awful,Insult
You're revolting,Insult
You're ugly,Insult
You're despicable,Insult
You're beneath everyone,Insult
You're skinny,Insult
You're worthless,Insult
You're repulsive,Insult
You're trash,Insult
You're a joke,Insult
You're a joke,Insult
You're garbage,Insult
You're terrible,Insult
You're an idiot,Insult
You're a failure,Insult
You're useless,Insult
You're an idiot,Insult
You're dumb,Insult
You're stupid,Insult
You're fat,Insult
You're weak,Insult
You're horrible,Insult
You're worthless,Insult
You're trash,Insult
You're beneath everyone,Insult
You're despicable,Insult
You're horrible,Insult
You're despicable,Insult
You're pathetic,Insult
You're repulsive,Insult
You're worthless scum,Insult
You're useless,Insult
You're useless,Insult
You're stupid,Insult
You're a freak,Insult
You're vile,Insult
You're incompetent,Insult
You're despicable,Insult
You're skinny,Insult
You're skinny,Insult
You're beneath everyone,Insult
You're revolting,Insult
You're repulsive,Insult
You're ashamed,Insult
You're incompetent,Insult
You're ashamed,Insult
You're despicable,Insult
You're vile,Insult
You're embarrassing,Insult
You're ugly,Insult
You're terrible,Insult
You're ashamed,Insult
You're weak,Insult
You're fat,Insult
You're garbage,Insult
You're revolting,Insult
You're ashamed,Insult
You're filthy,Insult
You're weak,Insult
You're worthless scum,Insult
You're repulsive,Insult
You're pathetic,Insult
You're garbage,Insult
You're a loser,Insult
You're useless,Insult
You're skinny,Insult
You're skinny,Insult
You're disgusting,Insult
You're embarrassing,Insult
You're a failure,Insult
You're pond scum,Insult
You're weak,Insult
You're filthy,Insult
You're revolting,Insult
You're filthy,Insult
You're filthy,Insult
You're pathetic,Insult
You're a joke,Insult
You're despicable,Insult
You're stupid,Insult
You're trash,Insult
You're vile,Insult
You're awful,Insult
You're worthless scum,Insult
You're garbage,Insult
You're garbage,Insult
You're ugly,Insult
You're skinny,Insult
You're worthless scum,Insult
You're trash,Insult
You're an idiot,Insult
You're terrible,Insult
You're despicable,Insult
You're skinny,Insult
You're useless,Insult
You're a loser,Insult
You're disgusting,Insult
You're pathetic,Insult
You're despicable,Insult
You're stupid,Insult
You're a freak,Insult
You're beneath everyone,Insult
You're filthy,Insult
You're vile,Insult
You're worthless,Insult
You're ashamed,Insult
You're horrible,Insult
You're ugly,Insult
You're ugly,Insult
You're a freak,Insult
You're pathetic,Insult
You're horrible,Insult
You're trash,Insult
You're awful,Insult
You're ashamed,Insult
You're trash,Insult
You're revolting,Insult
You're pathetic,Insult
You're incompetent,Insult
You're fat,Insult
You're trash,Insult
You're pathetic,Insult
You're disgusting,Insult
You're worthless,Insult
You're dirty,Insult
You're ugly,Insult
You're incompetent,Insult
You're trash,Insult
You're a failure,Insult
You're a loser,Insult
You're an idiot,Insult
You're a joke,Insult
You're fat,Insult
You're fat,Insult
You're repulsive,Insult
You're skinny,Insult
You're beneath everyone,Insult
You're filthy,Insult
You're weak,Insult
You're fat,Insult
You're filthy,Insult
You're pathetic,Insult
You're terrible,Insult
You're worthless,Insult
You're skinny,Insult
You're fat,Insult
You're weak,Insult
You're filthy,Insult
You're ugly,Insult
You're filthy,Insult
You're trash,Insult
You're trash,Insult
You're terrible,Insult
You're despicable,Insult
You're skinny,Insult
You're vile,Insult
You're awful,Insult
You're skinny,Insult
You're dirty,Insult
You're useless,Insult
You're ashamed,Insult
You're pond scum,Insult
You're trash,Insult
You're ugly,Insult
You're garbage,Insult
You're a joke,Insult
You're embarrassing,Insult
You're skinny,Insult
You're filthy,Insult
You're trash,Insult
You're incompetent,Insult
You're terrible,Insult
You're a failure,Insult
You're incompetent,Insult
You're worthless,Insult
You're ashamed,Insult
You're a joke,Insult
You're incompetent,Insult
You're a loser,Insult
You're skinny,Insult
You're a loser,Insult
You're dumb,Insult
You're a failure,Insult
You're garbage,Insult
You're stupid,Insult
You're terrible,Insult
You're incompetent,Insult
You're disgusting,Insult
You're an idiot,Insult
You're skinny,Insult
You're awful,Insult
You're worthless scum,Insult
You're pathetic,Insult
You're stupid,Insult
You're fat,Insult
You're weak,Insult
You're embarrassing,Insult
You're dirty,Insult
You're worthless,Insult
You're skinny,Insult
You're despicable,Insult
You're incompetent,Insult
You're awful,Insult
You're pond scum,Insult
You're vile,Insult
You're filthy,Insult
You're pathetic,Insult
You're beneath everyone,Insult
You're ashamed,Insult
You're an idiot,Insult
You're ashamed,Insult
You're stupid,Insult
You're skinny,Insult
You're weak,Insult
You're repulsive,Insult
You're a failure,Insult
You're weak,Insult
You're skinny,Insult
You're worthless,Insult
You're dirty,Insult
You're useless,Insult
You're a loser,Insult
You're stupid,Insult
You're incompetent,Insult
You're revolting,Insult
You're worthless,Insult
You're garbage,Insult
You're horrible,Insult
You're ashamed,Insult
You're worthless scum,Insult
